id,estacion_salida,estacion_llegada,tipo_pmr,hora
12364,CUL,GAM,PMR_ADULTO_MAYOR,17:00
12365,JAR,GAM,PMR_VISUAL,11:00
12366,MAT,GAM,PMR_ADULTO_MAYOR,15:00
12367,CUL,NAR,PMR_SILLA,08:00
12368,CUL,SMA,PMR_VISUAL,09:00
12369,GAM,VMA,PMR_VISUAL,20:00
12370,MAT,ANG,PMR_VISUAL,17:00
12371,JAR,UNI,PMR_VISUAL,13:00
12372,CUL,VMA,PMR_SILLA,14:00
12373,JAR,MAT,PMR_SILLA,16:00
12374,PUE,NAR,PMR_AUDITIVO,17:00
12375,ANG,UNI,PMR_AUDITIVO,15:00
12376,GAM,JAR,PMR_VISUAL,17:00
12377,VMA,GAM,PMR_VISUAL,15:00
12378,SMA,MAT,PMR_ADULTO_MAYOR,07:00
12379,VMA,ANG,PMR_ADULTO_MAYOR,13:00
12380,GAM,PUE,PMR_SILLA,09:00
12381,VMA,MAT,PMR_ADULTO_MAYOR,14:00
12382,UNI,VMA,PMR_VISUAL,11:00
12383,CUL,MAT,PMR_SILLA,09:00
12384,MAT,PUE,PMR_SILLA,14:00
12385,UNI,MAT,PMR_VISUAL,08:00
12386,PUE,GAM,PMR_VISUAL,15:00
12387,SMA,UNI,PMR_VISUAL,09:00
12388,ANG,MAT,PMR_SILLA,20:00
12389,SMA,JAR,PMR_ADULTO_MAYOR,18:00
12390,VMA,ANG,PMR_SILLA,11:00
12391,ANG,VMA,PMR_SILLA,07:00
12392,UNI,NAR,PMR_ADULTO_MAYOR,12:00
12393,VMA,CUL,PMR_VISUAL,08:00
12394,CUL,ANG,PMR_AUDITIVO,08:00
12395,ANG,PUE,PMR_AUDITIVO,08:00
12396,GAM,JAR,PMR_VISUAL,20:00
12397,VMA,GAM,PMR_AUDITIVO,08:00
12398,VMA,NAR,PMR_ADULTO_MAYOR,15:00
12399,UNI,MAT,PMR_AUDITIVO,11:00
12400,PUE,VMA,PMR_VISUAL,10:00
12401,GAM,CUL,PMR_AUDITIVO,11:00
12402,ANG,UNI,PMR_SILLA,14:00
12403,GAM,SMA,PMR_ADULTO_MAYOR,19:00
12404,PUE,VMA,PMR_SILLA,17:00
12405,SMA,PUE,PMR_ADULTO_MAYOR,15:00
12406,JAR,ANG,PMR_VISUAL,12:00
12407,NAR,SMA,PMR_SILLA,10:00
12408,NAR,VMA,PMR_SILLA,13:00
12409,MAT,GAM,PMR_AUDITIVO,06:00
12410,MAT,PUE,PMR_AUDITIVO,18:00
12411,MAT,PUE,PMR_ADULTO_MAYOR,11:00
12412,CUL,PUE,PMR_ADULTO_MAYOR,16:00
12413,VMA,SMA,PMR_ADULTO_MAYOR,10:00
12414,GAM,MAT,PMR_SILLA,09:00
12415,PUE,JAR,PMR_VISUAL,10:00
12416,ANG,CUL,PMR_SILLA,17:00
12417,NAR,UNI,PMR_AUDITIVO,10:00
12418,VMA,ANG,PMR_SILLA,19:00
12419,VMA,MAT,PMR_VISUAL,19:00
12420,ANG,VMA,PMR_ADULTO_MAYOR,07:00
12421,NAR,ANG,PMR_ADULTO_MAYOR,16:00
12422,JAR,UNI,PMR_SILLA,19:00
12423,UNI,NAR,PMR_AUDITIVO,06:00
12424,VMA,PUE,PMR_SILLA,11:00
12425,PUE,UNI,PMR_ADULTO_MAYOR,19:00
12426,GAM,CUL,PMR_VISUAL,18:00
12427,VMA,CUL,PMR_SILLA,13:00
12428,VMA,SMA,PMR_AUDITIVO,14:00
12429,GAM,PUE,PMR_SILLA,16:00
12430,PUE,GAM,PMR_SILLA,16:00
12431,PUE,NAR,PMR_AUDITIVO,20:00
12432,CUL,GAM,PMR_AUDITIVO,09:00
12433,ANG,SMA,PMR_AUDITIVO,07:00
12434,NAR,ANG,PMR_AUDITIVO,09:00
12435,UNI,SMA,PMR_VISUAL,06:00
12436,PUE,VMA,PMR_AUDITIVO,18:00
12437,CUL,JAR,PMR_ADULTO_MAYOR,17:00
12438,NAR,PUE,PMR_AUDITIVO,14:00
12439,ANG,UNI,PMR_ADULTO_MAYOR,16:00
12440,CUL,NAR,PMR_AUDITIVO,16:00
12441,ANG,JAR,PMR_ADULTO_MAYOR,06:00
12442,PUE,JAR,PMR_ADULTO_MAYOR,19:00
12443,UNI,SMA,PMR_AUDITIVO,11:00
12444,CUL,JAR,PMR_SILLA,17:00
12445,VMA,PUE,PMR_ADULTO_MAYOR,12:00
12446,UNI,JAR,PMR_AUDITIVO,14:00
12447,NAR,CUL,PMR_VISUAL,18:00
12448,JAR,ANG,PMR_ADULTO_MAYOR,16:00
12449,ANG,GAM,PMR_AUDITIVO,18:00
12450,GAM,VMA,PMR_ADULTO_MAYOR,10:00
12451,PUE,VMA,PMR_SILLA,13:00
12452,MAT,PUE,PMR_SILLA,15:00
12453,GAM,PUE,PMR_AUDITIVO,07:00
12454,VMA,PUE,PMR_AUDITIVO,11:00
12455,SMA,CUL,PMR_SILLA,08:00
12456,ANG,CUL,PMR_AUDITIVO,14:00
12457,CUL,UNI,PMR_ADULTO_MAYOR,08:00
12458,JAR,NAR,PMR_VISUAL,09:00
12459,VMA,SMA,PMR_SILLA,16:00
12460,ANG,UNI,PMR_AUDITIVO,20:00
12461,SMA,JAR,PMR_AUDITIVO,08:00
12462,GAM,MAT,PMR_ADULTO_MAYOR,07:00
12463,VMA,SMA,PMR_ADULTO_MAYOR,14:00
12464,JAR,VMA,PMR_VISUAL,19:00
12465,PUE,UNI,PMR_VISUAL,20:00
12466,CUL,ANG,PMR_SILLA,11:00
12467,MAT,PUE,PMR_VISUAL,15:00
12468,ANG,SMA,PMR_SILLA,14:00
12469,VMA,PUE,PMR_ADULTO_MAYOR,13:00
12470,MAT,NAR,PMR_AUDITIVO,08:00
12471,PUE,CUL,PMR_VISUAL,09:00
12472,UNI,CUL,PMR_AUDITIVO,09:00
12473,MAT,ANG,PMR_ADULTO_MAYOR,15:00
12474,PUE,NAR,PMR_ADULTO_MAYOR,11:00
12475,ANG,CUL,PMR_ADULTO_MAYOR,08:00
12476,SMA,JAR,PMR_AUDITIVO,17:00
12477,SMA,GAM,PMR_SILLA,07:00
12478,PUE,JAR,PMR_SILLA,16:00
12479,SMA,PUE,PMR_VISUAL,13:00
12480,GAM,UNI,PMR_SILLA,13:00
12481,UNI,JAR,PMR_VISUAL,09:00
12482,NAR,SMA,PMR_AUDITIVO,18:00
12483,JAR,SMA,PMR_ADULTO_MAYOR,12:00
12484,MAT,ANG,PMR_SILLA,19:00
12485,NAR,JAR,PMR_VISUAL,08:00
12486,VMA,MAT,PMR_AUDITIVO,15:00
12487,PUE,GAM,PMR_SILLA,18:00
12488,VMA,PUE,PMR_AUDITIVO,16:00
12489,UNI,PUE,PMR_SILLA,09:00
12490,ANG,PUE,PMR_VISUAL,14:00
12491,ANG,UNI,PMR_AUDITIVO,19:00
12492,SMA,NAR,PMR_AUDITIVO,13:00
12493,PUE,JAR,PMR_ADULTO_MAYOR,17:00
12494,SMA,GAM,PMR_ADULTO_MAYOR,20:00
12495,SMA,UNI,PMR_ADULTO_MAYOR,14:00
12496,MAT,JAR,PMR_SILLA,19:00
12497,VMA,MAT,PMR_ADULTO_MAYOR,15:00
12498,CUL,VMA,PMR_AUDITIVO,12:00
12499,ANG,UNI,PMR_VISUAL,16:00
12500,MAT,SMA,PMR_VISUAL,10:00
12501,ANG,VMA,PMR_SILLA,08:00
12502,NAR,JAR,PMR_AUDITIVO,07:00
12503,GAM,SMA,PMR_VISUAL,08:00
12504,SMA,UNI,PMR_ADULTO_MAYOR,12:00
12505,CUL,ANG,PMR_VISUAL,13:00
12506,MAT,VMA,PMR_VISUAL,12:00
12507,UNI,NAR,PMR_ADULTO_MAYOR,20:00
12508,CUL,MAT,PMR_ADULTO_MAYOR,19:00
12509,ANG,VMA,PMR_AUDITIVO,07:00
12510,CUL,GAM,PMR_VISUAL,17:00
12511,UNI,SMA,PMR_ADULTO_MAYOR,12:00
12512,PUE,CUL,PMR_AUDITIVO,09:00
12513,UNI,JAR,PMR_VISUAL,10:00
12514,MAT,CUL,PMR_SILLA,10:00
12515,SMA,VMA,PMR_VISUAL,13:00
12516,UNI,SMA,PMR_SILLA,15:00
12517,PUE,SMA,PMR_VISUAL,12:00
12518,ANG,UNI,PMR_ADULTO_MAYOR,17:00
12519,MAT,VMA,PMR_VISUAL,17:00
12520,VMA,JAR,PMR_SILLA,07:00
12521,SMA,CUL,PMR_SILLA,07:00
12522,UNI,ANG,PMR_AUDITIVO,07:00
12523,JAR,GAM,PMR_SILLA,20:00
12524,PUE,ANG,PMR_AUDITIVO,13:00
12525,UNI,SMA,PMR_SILLA,18:00
12526,VMA,SMA,PMR_SILLA,20:00
12527,SMA,UNI,PMR_AUDITIVO,09:00
12528,SMA,CUL,PMR_AUDITIVO,20:00
12529,CUL,SMA,PMR_VISUAL,19:00
12530,UNI,SMA,PMR_SILLA,17:00
12531,ANG,NAR,PMR_AUDITIVO,17:00
12532,CUL,PUE,PMR_AUDITIVO,12:00
12533,SMA,VMA,PMR_VISUAL,14:00
12534,UNI,CUL,PMR_AUDITIVO,14:00
12535,SMA,PUE,PMR_ADULTO_MAYOR,10:00
12536,VMA,PUE,PMR_VISUAL,15:00
12537,VMA,NAR,PMR_ADULTO_MAYOR,17:00
12538,GAM,VMA,PMR_ADULTO_MAYOR,18:00
12539,NAR,JAR,PMR_ADULTO_MAYOR,19:00
12540,UNI,PUE,PMR_ADULTO_MAYOR,09:00
12541,CUL,NAR,PMR_VISUAL,06:00
12542,ANG,NAR,PMR_ADULTO_MAYOR,16:00
12543,JAR,CUL,PMR_SILLA,14:00
12544,VMA,SMA,PMR_ADULTO_MAYOR,06:00
12545,GAM,VMA,PMR_AUDITIVO,20:00
12546,PUE,ANG,PMR_ADULTO_MAYOR,12:00
12547,NAR,UNI,PMR_ADULTO_MAYOR,18:00
12548,GAM,CUL,PMR_SILLA,16:00
12549,MAT,VMA,PMR_VISUAL,11:00
12550,SMA,CUL,PMR_ADULTO_MAYOR,19:00
12551,PUE,JAR,PMR_AUDITIVO,11:00
12552,UNI,VMA,PMR_VISUAL,07:00
12553,PUE,VMA,PMR_SILLA,09:00
12554,GAM,VMA,PMR_VISUAL,07:00
12555,NAR,PUE,PMR_VISUAL,13:00
12556,VMA,NAR,PMR_VISUAL,12:00
12557,UNI,CUL,PMR_VISUAL,20:00
12558,SMA,VMA,PMR_AUDITIVO,19:00
12559,MAT,PUE,PMR_SILLA,16:00
12560,ANG,MAT,PMR_SILLA,10:00
12561,PUE,SMA,PMR_AUDITIVO,12:00
12562,NAR,CUL,PMR_ADULTO_MAYOR,17:00
12563,CUL,VMA,PMR_ADULTO_MAYOR,17:00
12564,PUE,VMA,PMR_AUDITIVO,07:00
12565,GAM,MAT,PMR_VISUAL,10:00
12566,SMA,CUL,PMR_VISUAL,20:00
12567,SMA,PUE,PMR_VISUAL,13:00
12568,MAT,NAR,PMR_ADULTO_MAYOR,09:00
12569,PUE,MAT,PMR_VISUAL,07:00
12570,UNI,MAT,PMR_SILLA,19:00
12571,PUE,JAR,PMR_ADULTO_MAYOR,16:00
12572,NAR,GAM,PMR_ADULTO_MAYOR,10:00
12573,SMA,CUL,PMR_AUDITIVO,08:00
12574,MAT,PUE,PMR_VISUAL,14:00
12575,CUL,GAM,PMR_ADULTO_MAYOR,20:00
12576,MAT,UNI,PMR_SILLA,20:00
12577,PUE,NAR,PMR_VISUAL,08:00
12578,SMA,UNI,PMR_SILLA,06:00
12579,PUE,JAR,PMR_ADULTO_MAYOR,06:00
12580,UNI,VMA,PMR_VISUAL,13:00
12581,ANG,NAR,PMR_AUDITIVO,18:00
12582,GAM,UNI,PMR_VISUAL,11:00
12583,ANG,VMA,PMR_AUDITIVO,08:00
12584,JAR,UNI,PMR_ADULTO_MAYOR,10:00
12585,JAR,UNI,PMR_ADULTO_MAYOR,20:00
12586,VMA,UNI,PMR_VISUAL,20:00
12587,NAR,MAT,PMR_ADULTO_MAYOR,12:00
12588,GAM,NAR,PMR_AUDITIVO,06:00
12589,UNI,PUE,PMR_VISUAL,18:00
12590,CUL,MAT,PMR_VISUAL,08:00
12591,UNI,JAR,PMR_AUDITIVO,20:00
12592,ANG,SMA,PMR_VISUAL,10:00
12593,MAT,JAR,PMR_SILLA,16:00
12594,ANG,VMA,PMR_AUDITIVO,06:00
12595,VMA,SMA,PMR_SILLA,15:00
12596,GAM,MAT,PMR_AUDITIVO,06:00
12597,MAT,NAR,PMR_SILLA,06:00
12598,MAT,GAM,PMR_VISUAL,11:00
12599,NAR,SMA,PMR_AUDITIVO,18:00
12600,ANG,NAR,PMR_ADULTO_MAYOR,11:00
12601,MAT,ANG,PMR_AUDITIVO,19:00
12602,SMA,GAM,PMR_ADULTO_MAYOR,06:00
12603,UNI,MAT,PMR_ADULTO_MAYOR,17:00
12604,PUE,JAR,PMR_ADULTO_MAYOR,09:00
12605,JAR,MAT,PMR_ADULTO_MAYOR,14:00
12606,CUL,NAR,PMR_SILLA,19:00
12607,NAR,CUL,PMR_SILLA,10:00
12608,PUE,NAR,PMR_AUDITIVO,11:00
12609,JAR,MAT,PMR_ADULTO_MAYOR,17:00
12610,SMA,GAM,PMR_VISUAL,15:00
12611,JAR,SMA,PMR_ADULTO_MAYOR,17:00
12612,CUL,GAM,PMR_ADULTO_MAYOR,06:00
12613,GAM,MAT,PMR_VISUAL,19:00
12614,JAR,SMA,PMR_ADULTO_MAYOR,09:00
12615,SMA,NAR,PMR_SILLA,07:00
12616,GAM,SMA,PMR_AUDITIVO,15:00
12617,ANG,SMA,PMR_VISUAL,06:00
12618,VMA,SMA,PMR_SILLA,07:00
12619,GAM,VMA,PMR_AUDITIVO,08:00
12620,VMA,MAT,PMR_SILLA,11:00
12621,SMA,CUL,PMR_VISUAL,08:00
12622,CUL,UNI,PMR_SILLA,08:00
12623,GAM,ANG,PMR_SILLA,12:00
12624,ANG,CUL,PMR_ADULTO_MAYOR,09:00
12625,NAR,VMA,PMR_AUDITIVO,07:00
12626,MAT,NAR,PMR_VISUAL,10:00
12627,ANG,VMA,PMR_AUDITIVO,14:00
12628,NAR,UNI,PMR_SILLA,06:00
12629,GAM,NAR,PMR_SILLA,11:00
12630,SMA,NAR,PMR_SILLA,12:00
12631,PUE,MAT,PMR_ADULTO_MAYOR,18:00
12632,VMA,UNI,PMR_SILLA,13:00
12633,PUE,ANG,PMR_ADULTO_MAYOR,07:00
12634,VMA,SMA,PMR_SILLA,13:00
12635,JAR,PUE,PMR_AUDITIVO,09:00
12636,CUL,SMA,PMR_VISUAL,20:00
12637,MAT,PUE,PMR_AUDITIVO,11:00
12638,SMA,PUE,PMR_VISUAL,17:00
12639,PUE,UNI,PMR_ADULTO_MAYOR,16:00
12640,UNI,CUL,PMR_AUDITIVO,10:00
12641,GAM,UNI,PMR_ADULTO_MAYOR,20:00
12642,CUL,MAT,PMR_AUDITIVO,14:00
12643,ANG,JAR,PMR_AUDITIVO,09:00
12644,GAM,NAR,PMR_VISUAL,06:00
12645,GAM,PUE,PMR_ADULTO_MAYOR,19:00
12646,JAR,SMA,PMR_AUDITIVO,09:00
12647,ANG,CUL,PMR_VISUAL,06:00
12648,MAT,SMA,PMR_SILLA,17:00
12649,MAT,ANG,PMR_VISUAL,20:00
12650,PUE,GAM,PMR_VISUAL,20:00
12651,NAR,UNI,PMR_ADULTO_MAYOR,18:00
12652,NAR,CUL,PMR_VISUAL,13:00
12653,JAR,NAR,PMR_VISUAL,14:00
12654,NAR,ANG,PMR_ADULTO_MAYOR,13:00
12655,CUL,JAR,PMR_ADULTO_MAYOR,09:00
12656,MAT,JAR,PMR_ADULTO_MAYOR,15:00
12657,CUL,MAT,PMR_SILLA,08:00
12658,ANG,PUE,PMR_AUDITIVO,11:00
12659,ANG,GAM,PMR_SILLA,19:00
12660,CUL,JAR,PMR_AUDITIVO,12:00
12661,NAR,CUL,PMR_ADULTO_MAYOR,12:00
12662,UNI,SMA,PMR_VISUAL,15:00
12663,MAT,JAR,PMR_SILLA,17:00
12664,ANG,PUE,PMR_ADULTO_MAYOR,15:00
12665,SMA,CUL,PMR_ADULTO_MAYOR,11:00
12666,UNI,NAR,PMR_AUDITIVO,06:00
12667,JAR,UNI,PMR_AUDITIVO,09:00
12668,MAT,JAR,PMR_ADULTO_MAYOR,16:00
12669,CUL,SMA,PMR_ADULTO_MAYOR,19:00
12670,UNI,PUE,PMR_ADULTO_MAYOR,07:00
12671,MAT,UNI,PMR_SILLA,12:00
12672,PUE,GAM,PMR_VISUAL,10:00
12673,NAR,CUL,PMR_VISUAL,17:00
12674,NAR,PUE,PMR_AUDITIVO,17:00
12675,NAR,UNI,PMR_ADULTO_MAYOR,08:00
12676,VMA,MAT,PMR_SILLA,11:00
12677,PUE,NAR,PMR_AUDITIVO,06:00
12678,JAR,MAT,PMR_AUDITIVO,10:00
12679,PUE,JAR,PMR_AUDITIVO,10:00
12680,PUE,NAR,PMR_VISUAL,20:00
12681,MAT,NAR,PMR_ADULTO_MAYOR,14:00
12682,CUL,GAM,PMR_VISUAL,19:00
12683,NAR,JAR,PMR_SILLA,15:00
12684,ANG,CUL,PMR_VISUAL,15:00
12685,UNI,JAR,PMR_SILLA,15:00
12686,VMA,JAR,PMR_VISUAL,14:00
12687,UNI,VMA,PMR_SILLA,19:00
12688,CUL,MAT,PMR_SILLA,13:00
12689,JAR,CUL,PMR_SILLA,14:00
12690,JAR,SMA,PMR_VISUAL,16:00
12691,MAT,UNI,PMR_VISUAL,11:00
12692,PUE,JAR,PMR_VISUAL,12:00
12693,JAR,PUE,PMR_SILLA,18:00
12694,GAM,UNI,PMR_SILLA,13:00
12695,SMA,MAT,PMR_AUDITIVO,16:00
12696,PUE,CUL,PMR_SILLA,08:00
12697,PUE,GAM,PMR_AUDITIVO,06:00
12698,PUE,GAM,PMR_AUDITIVO,06:00
12699,JAR,ANG,PMR_ADULTO_MAYOR,08:00
12700,CUL,PUE,PMR_VISUAL,11:00
12701,PUE,JAR,PMR_VISUAL,10:00
12702,VMA,NAR,PMR_SILLA,13:00
12703,JAR,CUL,PMR_AUDITIVO,16:00
12704,UNI,MAT,PMR_VISUAL,09:00
12705,VMA,ANG,PMR_VISUAL,09:00
12706,MAT,GAM,PMR_VISUAL,07:00
12707,SMA,VMA,PMR_VISUAL,20:00
12708,MAT,CUL,PMR_SILLA,08:00
12709,ANG,GAM,PMR_SILLA,14:00
12710,VMA,UNI,PMR_SILLA,06:00
12711,JAR,UNI,PMR_VISUAL,13:00
12712,VMA,MAT,PMR_AUDITIVO,16:00
12713,PUE,JAR,PMR_VISUAL,14:00
12714,SMA,ANG,PMR_SILLA,17:00
12715,GAM,ANG,PMR_SILLA,19:00
12716,GAM,ANG,PMR_AUDITIVO,16:00
12717,VMA,PUE,PMR_AUDITIVO,14:00
12718,UNI,JAR,PMR_ADULTO_MAYOR,17:00
12719,NAR,VMA,PMR_AUDITIVO,12:00
12720,GAM,VMA,PMR_VISUAL,10:00
12721,PUE,ANG,PMR_SILLA,13:00
12722,JAR,MAT,PMR_ADULTO_MAYOR,07:00
12723,PUE,SMA,PMR_ADULTO_MAYOR,12:00
12724,UNI,JAR,PMR_VISUAL,08:00
12725,CUL,ANG,PMR_AUDITIVO,16:00
12726,NAR,ANG,PMR_SILLA,15:00
12727,SMA,NAR,PMR_VISUAL,14:00
12728,PUE,GAM,PMR_ADULTO_MAYOR,16:00
12729,JAR,SMA,PMR_ADULTO_MAYOR,08:00
12730,PUE,NAR,PMR_AUDITIVO,07:00
12731,MAT,PUE,PMR_AUDITIVO,09:00
12732,CUL,MAT,PMR_SILLA,12:00
12733,NAR,GAM,PMR_AUDITIVO,16:00
12734,GAM,VMA,PMR_ADULTO_MAYOR,18:00
12735,UNI,VMA,PMR_AUDITIVO,08:00
12736,CUL,ANG,PMR_ADULTO_MAYOR,09:00
12737,SMA,PUE,PMR_SILLA,15:00
12738,GAM,JAR,PMR_VISUAL,07:00
12739,VMA,NAR,PMR_SILLA,08:00
12740,ANG,GAM,PMR_VISUAL,06:00
12741,SMA,NAR,PMR_AUDITIVO,12:00
12742,MAT,CUL,PMR_ADULTO_MAYOR,15:00
12743,PUE,ANG,PMR_ADULTO_MAYOR,09:00
12744,PUE,SMA,PMR_SILLA,13:00
12745,NAR,MAT,PMR_VISUAL,17:00
12746,SMA,MAT,PMR_AUDITIVO,20:00
12747,JAR,GAM,PMR_SILLA,16:00
12748,NAR,JAR,PMR_AUDITIVO,20:00
12749,CUL,MAT,PMR_SILLA,09:00
12750,PUE,GAM,PMR_SILLA,18:00
12751,ANG,JAR,PMR_SILLA,17:00
12752,SMA,ANG,PMR_ADULTO_MAYOR,18:00
12753,GAM,SMA,PMR_VISUAL,09:00
12754,CUL,GAM,PMR_AUDITIVO,11:00
12755,ANG,SMA,PMR_AUDITIVO,08:00
12756,GAM,UNI,PMR_VISUAL,08:00
12757,PUE,UNI,PMR_SILLA,20:00
12758,UNI,CUL,PMR_ADULTO_MAYOR,16:00
12759,JAR,MAT,PMR_ADULTO_MAYOR,09:00
12760,JAR,SMA,PMR_AUDITIVO,10:00
12761,MAT,VMA,PMR_AUDITIVO,16:00
12762,SMA,CUL,PMR_ADULTO_MAYOR,16:00
12763,CUL,PUE,PMR_ADULTO_MAYOR,08:00
12764,MAT,VMA,PMR_SILLA,13:00
12765,JAR,UNI,PMR_SILLA,13:00
12766,MAT,GAM,PMR_VISUAL,16:00
12767,UNI,GAM,PMR_ADULTO_MAYOR,09:00
12768,UNI,MAT,PMR_ADULTO_MAYOR,16:00
12769,NAR,ANG,PMR_VISUAL,15:00
12770,MAT,NAR,PMR_VISUAL,19:00
12771,NAR,CUL,PMR_AUDITIVO,18:00
12772,UNI,GAM,PMR_VISUAL,18:00
12773,VMA,CUL,PMR_ADULTO_MAYOR,17:00
12774,CUL,MAT,PMR_AUDITIVO,16:00
12775,PUE,CUL,PMR_ADULTO_MAYOR,11:00
12776,NAR,PUE,PMR_SILLA,17:00
12777,NAR,PUE,PMR_ADULTO_MAYOR,06:00
12778,ANG,PUE,PMR_AUDITIVO,19:00
12779,VMA,UNI,PMR_VISUAL,13:00
12780,PUE,GAM,PMR_AUDITIVO,18:00
12781,JAR,PUE,PMR_SILLA,20:00
12782,UNI,ANG,PMR_VISUAL,17:00
12783,CUL,JAR,PMR_ADULTO_MAYOR,10:00
12784,VMA,MAT,PMR_AUDITIVO,08:00
12785,CUL,MAT,PMR_ADULTO_MAYOR,13:00
12786,GAM,VMA,PMR_ADULTO_MAYOR,20:00
12787,SMA,GAM,PMR_ADULTO_MAYOR,19:00
12788,NAR,ANG,PMR_VISUAL,17:00
12789,UNI,SMA,PMR_AUDITIVO,14:00
12790,JAR,CUL,PMR_ADULTO_MAYOR,14:00
12791,CUL,MAT,PMR_AUDITIVO,20:00
12792,ANG,GAM,PMR_VISUAL,19:00
12793,ANG,NAR,PMR_AUDITIVO,15:00
12794,VMA,SMA,PMR_AUDITIVO,18:00
12795,PUE,UNI,PMR_AUDITIVO,10:00
12796,MAT,UNI,PMR_VISUAL,14:00
12797,ANG,MAT,PMR_SILLA,16:00
12798,GAM,JAR,PMR_SILLA,17:00
12799,NAR,VMA,PMR_AUDITIVO,06:00
12800,NAR,VMA,PMR_VISUAL,07:00
12801,GAM,UNI,PMR_AUDITIVO,09:00
12802,MAT,VMA,PMR_ADULTO_MAYOR,08:00
12803,ANG,JAR,PMR_VISUAL,18:00
12804,GAM,VMA,PMR_AUDITIVO,20:00
12805,PUE,UNI,PMR_VISUAL,07:00
12806,PUE,CUL,PMR_VISUAL,14:00
12807,VMA,SMA,PMR_AUDITIVO,07:00
12808,MAT,VMA,PMR_SILLA,06:00
12809,SMA,VMA,PMR_ADULTO_MAYOR,13:00
12810,VMA,JAR,PMR_SILLA,19:00
12811,MAT,VMA,PMR_SILLA,09:00
12812,CUL,NAR,PMR_ADULTO_MAYOR,10:00
12813,GAM,VMA,PMR_VISUAL,16:00
12814,PUE,MAT,PMR_AUDITIVO,17:00
12815,CUL,GAM,PMR_VISUAL,17:00
12816,CUL,VMA,PMR_ADULTO_MAYOR,18:00
12817,SMA,JAR,PMR_VISUAL,16:00
12818,GAM,ANG,PMR_SILLA,16:00
12819,MAT,GAM,PMR_VISUAL,17:00
12820,MAT,JAR,PMR_SILLA,12:00
12821,GAM,SMA,PMR_ADULTO_MAYOR,20:00
12822,NAR,ANG,PMR_AUDITIVO,19:00
12823,SMA,PUE,PMR_AUDITIVO,11:00
12824,ANG,PUE,PMR_AUDITIVO,17:00
12825,MAT,NAR,PMR_VISUAL,15:00
12826,CUL,GAM,PMR_ADULTO_MAYOR,10:00
12827,GAM,PUE,PMR_AUDITIVO,15:00
12828,ANG,PUE,PMR_AUDITIVO,18:00
12829,PUE,SMA,PMR_ADULTO_MAYOR,20:00
12830,CUL,NAR,PMR_VISUAL,12:00
12831,SMA,PUE,PMR_SILLA,10:00
12832,ANG,PUE,PMR_ADULTO_MAYOR,16:00
12833,PUE,JAR,PMR_VISUAL,20:00
12834,NAR,CUL,PMR_ADULTO_MAYOR,17:00
12835,CUL,VMA,PMR_VISUAL,12:00
12836,SMA,PUE,PMR_VISUAL,18:00
12837,CUL,UNI,PMR_AUDITIVO,16:00
12838,GAM,SMA,PMR_SILLA,20:00
12839,ANG,VMA,PMR_AUDITIVO,09:00
12840,CUL,VMA,PMR_AUDITIVO,10:00
12841,VMA,MAT,PMR_SILLA,07:00
12842,PUE,VMA,PMR_AUDITIVO,10:00
12843,MAT,CUL,PMR_SILLA,15:00
12844,GAM,UNI,PMR_ADULTO_MAYOR,07:00
12845,SMA,PUE,PMR_VISUAL,13:00
12846,SMA,UNI,PMR_VISUAL,13:00
12847,GAM,PUE,PMR_VISUAL,20:00
12848,GAM,UNI,PMR_ADULTO_MAYOR,20:00
12849,GAM,ANG,PMR_AUDITIVO,06:00
12850,UNI,JAR,PMR_ADULTO_MAYOR,12:00
12851,JAR,CUL,PMR_SILLA,13:00
12852,ANG,VMA,PMR_AUDITIVO,09:00
12853,VMA,SMA,PMR_ADULTO_MAYOR,18:00
12854,SMA,UNI,PMR_AUDITIVO,13:00
12855,ANG,NAR,PMR_AUDITIVO,12:00
12856,GAM,UNI,PMR_ADULTO_MAYOR,17:00
12857,CUL,MAT,PMR_SILLA,18:00
12858,CUL,UNI,PMR_AUDITIVO,15:00
12859,NAR,SMA,PMR_VISUAL,17:00
12860,MAT,GAM,PMR_ADULTO_MAYOR,06:00
12861,JAR,VMA,PMR_ADULTO_MAYOR,19:00
12862,SMA,UNI,PMR_AUDITIVO,13:00
12863,CUL,GAM,PMR_VISUAL,14:00
12864,ANG,CUL,PMR_VISUAL,13:00
12865,MAT,SMA,PMR_SILLA,14:00
12866,VMA,PUE,PMR_AUDITIVO,17:00
12867,GAM,VMA,PMR_SILLA,19:00
12868,VMA,NAR,PMR_SILLA,17:00
12869,NAR,GAM,PMR_AUDITIVO,20:00
12870,PUE,CUL,PMR_VISUAL,10:00
12871,GAM,VMA,PMR_SILLA,08:00
12872,JAR,UNI,PMR_AUDITIVO,07:00
12873,GAM,JAR,PMR_AUDITIVO,20:00
12874,VMA,UNI,PMR_AUDITIVO,08:00
12875,CUL,VMA,PMR_SILLA,10:00
12876,UNI,ANG,PMR_ADULTO_MAYOR,15:00
12877,SMA,NAR,PMR_VISUAL,19:00
12878,NAR,MAT,PMR_SILLA,17:00
12879,MAT,NAR,PMR_AUDITIVO,10:00
12880,PUE,VMA,PMR_AUDITIVO,12:00
12881,PUE,MAT,PMR_AUDITIVO,19:00
12882,CUL,SMA,PMR_ADULTO_MAYOR,09:00
12883,CUL,VMA,PMR_ADULTO_MAYOR,13:00
12884,SMA,MAT,PMR_SILLA,07:00
